vehicle_make,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AE,CU,0.557521158895124,2020,48,0.21875,0.7415254237288135,2.1,0.6666666666666666,True
AE,CX,0.7012171082983132,2020,39,0.203125,0.595870439528871,1.9666666666666668,0.6666666666666666,True
AE,DC,1.8356903797277233,2020,38,1.578125,1.3241525423728813,0.3666666666666667,0.6666666666666666,True
AE,DD,1.089601315248664,2020,45,1.375,1.1016949152542372,2.1333333333333333,1.3333333333333333,True
AE,DT,1.821892012045262,2019,52,1.609375,1.1917372881355932,3.033333333333333,0.6666666666666666,True
AE,PB,0.6673838462635362,2021,1,0.234375,1.00635593220339,1.9666666666666668,0.6666666666666666,True
AE,FM,0.40589429359906726,2020,40,0.21875,0.7415254237288136,1.8,0.6666666666666666,True
AE,FV,0.7407500608134746,2020,4,0.203125,0.9322033898305084,0.5333333333333333,0.6666666666666666,True
AE,HN,0.32339766979541507,2021,4,0.5,0.8050847457627118,3.9333333333333336,1.3333333333333333,True
AE,HO,0.33452443862871906,2020,3,0.515625,1.0593220338983051,1.6333333333333335,0.6666666666666666,True
AE,HU,0.19167568383703668,2021,8,0.015625,0.9798728813559322,0.7999999999999999,0.6666666666666666,True
AE,HY,0.5430601340412861,2020,27,0.5625,0.948093220338983,0.8333333333333334,0.6666666666666666,True
AE,IK,1.9289530855498795,2020,35,1.015625,1.1016949152542372,1.6666666666666667,0.6666666666666666,True
AE,IR,2.0367397267168275,2020,10,1.0,1.0593220338983051,0.39999999999999997,0.6666666666666666,True
AE,IW,1.776877458751688,2020,6,1.046875,0.9533898305084746,0.16666666666666666,0.6666666666666666,True
AE,JI,2.0340723219004,2020,33,1.0,0.9550847457627119,1.1333333333333333,0.6666666666666666,True
AE,JI,2.0340723219004,2020,49,1.0,0.9550847457627119,1.5333333333333332,0.6666666666666666,True
AE,JL,0.7173473581787833,2020,31,0.5,0.847457627118644,0.26666666666666666,0.6666666666666666,True
AE,KB,3.5690505548705302,2020,29,2.59375,0.7150423728813559,1.9000000000000004,0.6666666666666666,True
AE,KH,4.1371616464094885,2020,32,2.59375,1.1652542372881356,0.7666666666666666,0.6666666666666666,True
AE,KY,3.588141791858544,2021,2,2.59375,0.9004237288135593,0.3666666666666667,0.6666666666666666,True
AE,LH,3.69191893773539,2020,39,2.5625,0.966101694915254,1.9666666666666668,0.6666666666666666,True
AE,LI,4.000260030029274,2020,34,2.578125,1.0593220338983051,1.8,0.6666666666666666,True
AE,ME,0.8911396864541131,2020,47,2.515625,1.3241525423728813,0.5333333333333333,0.6666666666666666,True
AE,MI,3.270007633139569,2020,6,2.578125,1.25,0.3666666666666667,0.6666666666666666,True
AE,MI,3.270007633139569,2020,31,2.578125,1.25,0.26666666666666666,0.6666666666666666,True
AE,MR,4.106327117776827,2021,2,2.578125,1.1652542372881356,2.566666666666667,0.6666666666666666,True
AE,MU,1.182402677470495,2020,36,2.609375,1.1122881355932204,1.3333333333333333,0.6666666666666666,True
AE,NJ,1.4906305308806629,2020,31,1.015625,0.8485169491525424,0.9666666666666667,0.6666666666666666,True
AE,NL,0.6895996376355721,2021,6,1.078125,0.9957627118644068,0.9333333333333332,0.6666666666666666,True
AE,NU,0.45237256431549194,2020,28,0.375,0.9745762711864406,0.9333333333333332,0.6666666666666666,True
AE,OQ,4.042871402568426,2020,20,2.546875,0.7415254237288136,1.7666666666666666,0.6666666666666666,True
AE,BH,0.20794433679760438,2020,26,0.171875,0.847457627118644,2.6333333333333333,0.6666666666666666,True
AE,CE,1.0,2020,8,0.78125,0.9004237288135594,1.8333333333333333,0.6666666666666666,True
AE,CS,0.7012171082983132,2020,31,0.203125,0.6673728813559322,1.7,0.6666666666666666,True
AB,CT,0.33350948270800307,2020,23,0.75,0.8898305084745761,0.9333333333333332,0.6666666666666666,True
AB,CT,0.33350948270800307,2020,49,0.75,0.8898305084745762,1.5999999999999999,0.6666666666666666,True
AB,CU,0.557521158895124,2020,10,0.21875,1.0593220338983051,2.4,0.6666666666666666,True
AB,CU,0.557521158895124,2020,13,0.21875,1.0593220338983051,0.6000000000000001,0.6666666666666666,True
AB,CU,0.557521158895124,2020,14,0.21875,0.7415254237288136,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,16,0.21875,1.0593220338983051,0.9333333333333332,0.6666666666666666,True
AB,CU,0.557521158895124,2020,18,0.21875,1.0593220338983051,0.9333333333333332,0.6666666666666666,True
AB,CU,0.557521158895124,2020,19,0.21875,0.847457627118644,0.7999999999999999,0.6666666666666666,True
AB,CU,0.557521158895124,2020,24,0.21875,1.0593220338983051,0.4666666666666666,0.6666666666666666,True
AB,CU,0.557521158895124,2020,27,0.21875,1.0593220338983051,3.066666666666667,2.0,True
AB,CU,0.557521158895124,2020,32,0.21875,1.0593220338983051,0.6,0.6666666666666666,True
AB,CU,0.557521158895124,2020,33,0.21875,1.0593220338983051,1.4000000000000001,1.3333333333333333,True
AB,CU,0.557521158895124,2020,34,0.21875,0.7944915254237288,1.9333333333333333,0.6666666666666666,True
AB,CU,0.557521158895124,2020,36,0.21875,0.7415254237288136,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,38,0.21875,0.7415254237288136,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,45,0.21875,0.7415254237288136,1.4666666666666668,0.6666666666666666,True
AB,CU,0.557521158895124,2020,46,0.21875,0.7415254237288136,1.4666666666666668,0.6666666666666666,True
