vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
HIGH END,DC,1.8485836525588015,2020,13,1.578125,1.1968085106382977,1.6111111111111114,1.1111111111111112,True
HIGH END,DC,1.8485836525588015,2020,28,1.578125,1.3297872340425532,2.055555555555556,1.1111111111111112,True
HIGH END,DC,1.8485836525588015,2020,29,1.578125,1.3297872340425532,2.444444444444445,1.1111111111111112,True
HIGH END,DC,1.8485836525588015,2020,30,1.578125,1.3297872340425532,1.7222222222222225,1.1111111111111112,True
HIGH END,DC,1.8485836525588015,2020,39,1.578125,1.329787234042553,1.3333333333333337,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,41,1.578125,1.3297872340425532,1.2222222222222225,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,42,1.578125,1.3297872340425532,1.0000000000000002,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2020,46,1.578125,1.3297872340425532,2.277777777777778,1.1111111111111112,True
HIGH END,DC,1.8485836525588015,2021,6,1.578125,1.1021276595744678,1.3888888888888893,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2021,8,1.578125,1.377659574468085,1.1111111111111112,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2021,9,1.578125,1.3776595744680848,1.2777777777777781,0.5555555555555556,True
HIGH END,DC,1.8485836525588015,2021,11,1.578125,1.4893617021276595,1.0555555555555556,0.5555555555555556,True
HIGH END,DD,1.0972543090158846,2020,5,1.375,0.9557478564623688,0.3722222222222223,0.5555555555555556,True
HIGH END,DD,1.0972543090158846,2020,18,1.375,0.9557446808510637,2.0000000000000004,1.1111111111111112,True
