year_week,target_1,ds,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,target_2,target_3,target_4,number_of_holidays,number_of_holidays_next_week,number_of_holidays_previous_week
201951,0.14366729678638943,2019-12-16,,,,,,,,,,0.2948960302457467,0.13988657844990549,0.332703213610586,0,4,0
201952,0.2948960302457467,2019-12-23,0.14366729678638943,,,,,,,,,0.13988657844990549,0.332703213610586,0.7901701323251418,4,1,0
202001,0.13988657844990549,2019-12-30,0.2948960302457467,0.14366729678638943,,,,,,,,0.332703213610586,0.7901701323251418,0.9206049149338374,1,1,4
202002,0.332703213610586,2020-01-06,0.13988657844990549,0.2948960302457467,0.14366729678638943,,,,,,,0.7901701323251418,0.9206049149338374,0.9149338374291115,1,0,1
202003,0.7901701323251418,2020-01-13,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,,,,,,0.9206049149338374,0.9149338374291115,0.7693761814744802,0,0,1
202004,0.9206049149338374,2020-01-20,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,,,,,0.9149338374291115,0.7693761814744802,0.7637051039697542,0,0,0
202005,0.9149338374291115,2020-01-27,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,,,,0.7693761814744802,0.7637051039697542,0.7901701323251418,0,0,0
202006,0.7693761814744802,2020-02-03,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,,,0.7637051039697542,0.7901701323251418,1.005671077504726,0,0,0
202007,0.7637051039697542,2020-02-10,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,,0.7901701323251418,1.005671077504726,0.8449905482041588,0,0,0
202008,0.7901701323251418,2020-02-17,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.14366729678638943,1.005671077504726,0.8449905482041588,0.8412098298676749,0,0,0
202009,1.005671077504726,2020-02-24,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.2948960302457467,0.8449905482041588,0.8412098298676749,0.7372400756143668,0,0,0
202010,0.8449905482041588,2020-03-02,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.13988657844990549,0.8412098298676749,0.7372400756143668,0.9546313799621928,0,0,0
202011,0.8412098298676749,2020-03-09,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.332703213610586,0.7372400756143668,0.9546313799621928,0.6540642722117203,0,0,0
202012,0.7372400756143668,2020-03-16,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.7901701323251418,0.9546313799621928,0.6540642722117203,0.4820415879017013,0,0,0
202013,0.9546313799621928,2020-03-23,0.7372400756143668,0.8412098298676749,0.8449905482041588,1.005671077504726,0.7901701323251418,0.7637051039697542,0.7693761814744802,0.9149338374291115,0.9206049149338374,0.6540642722117203,0.4820415879017013,0.4499054820415879,0,0,0
