demand_value,date
0.09803921568627451,2019-12-18
0.24509803921568626,2019-12-19
0.4019607843137255,2019-12-20
0.49019607843137253,2019-12-23
0.5196078431372549,2019-12-27
0.0196078431372549,2019-12-28
0.5,2019-12-30
0.5392156862745098,2020-01-02
0.18627450980392157,2020-01-03
0.5980392156862745,2020-01-07
0.38235294117647056,2020-01-08
0.38235294117647056,2020-01-09
0.3431372549019608,2020-01-10
0.0196078431372549,2020-01-11
0.9411764705882353,2020-01-13
0.7058823529411765,2020-01-14
0.5490196078431373,2020-01-15
0.8235294117647058,2020-01-16
1.0490196078431373,2020-01-17
0.029411764705882353,2020-01-18
1.3333333333333333,2020-01-20
0.9117647058823529,2020-01-21
0.7352941176470589,2020-01-22
0.8725490196078431,2020-01-23
0.9019607843137255,2020-01-24
0.0196078431372549,2020-01-25
1.1470588235294117,2020-01-27
0.9411764705882353,2020-01-28
0.6862745098039216,2020-01-29
0.8725490196078431,2020-01-30
1.0686274509803921,2020-01-31
0.029411764705882353,2020-02-01
0.8627450980392157,2020-02-03
0.7549019607843137,2020-02-04
0.7647058823529411,2020-02-05
0.7745098039215687,2020-02-06
0.803921568627451,2020-02-07
0.0196078431372549,2020-02-08
0.00980392156862745,2020-02-09
0.7450980392156863,2020-02-10
0.803921568627451,2020-02-11
0.8725490196078431,2020-02-12
0.8137254901960784,2020-02-13
0.7156862745098039,2020-02-14
0.00980392156862745,2020-02-15
0.7549019607843137,2020-02-17
0.6470588235294118,2020-02-18
0.9313725490196079,2020-02-19
0.8627450980392157,2020-02-20
0.8725490196078431,2020-02-21
0.0196078431372549,2020-02-22
0.00980392156862745,2020-02-23
0.8921568627450981,2020-02-24
0.9803921568627451,2020-02-25
1.1764705882352942,2020-02-26
1.0,2020-02-27
1.1176470588235294,2020-02-28
0.049019607843137254,2020-02-29
0.6764705882352942,2020-03-02
0.9509803921568627,2020-03-03
0.9313725490196079,2020-03-04
1.0,2020-03-05
0.8235294117647058,2020-03-06
0.6274509803921569,2020-03-09
0.8627450980392157,2020-03-10
0.8921568627450981,2020-03-11
0.9411764705882353,2020-03-12
0.9901960784313726,2020-03-13
0.049019607843137254,2020-03-14
0.6764705882352942,2020-03-16
0.7549019607843137,2020-03-17
0.8823529411764706,2020-03-18
0.7647058823529411,2020-03-19
0.7352941176470589,2020-03-20
0.00980392156862745,2020-03-21
0.7647058823529411,2020-03-23
0.7745098039215687,2020-03-24
1.2450980392156863,2020-03-25
1.0490196078431373,2020-03-26
1.0784313725490196,2020-03-27
0.0392156862745098,2020-03-28
0.7941176470588235,2020-03-30
0.6862745098039216,2020-03-31
0.6470588235294118,2020-04-01
0.6372549019607843,2020-04-02
0.6176470588235294,2020-04-03
0.00980392156862745,2020-04-04
0.5784313725490197,2020-04-06
0.7058823529411765,2020-04-07
0.696078431372549,2020-04-08
0.5,2020-04-09
0.0196078431372549,2020-04-11
0.5196078431372549,2020-04-14
0.5098039215686274,2020-04-15
0.7058823529411765,2020-04-16
0.5784313725490197,2020-04-17
0.0196078431372549,2020-04-18
0.6470588235294118,2020-04-20
0.6372549019607843,2020-04-21
0.7352941176470589,2020-04-22
1.0588235294117647,2020-04-23
0.9509803921568627,2020-04-24
0.00980392156862745,2020-04-25
1.0980392156862746,2020-04-27
1.0,2020-04-28
1.2549019607843137,2020-04-29
1.3137254901960784,2020-04-30
0.0196078431372549,2020-05-02
0.9215686274509803,2020-05-04
1.0784313725490196,2020-05-05
1.2647058823529411,2020-05-06
1.107843137254902,2020-05-07
1.1568627450980393,2020-05-08
0.0196078431372549,2020-05-09
1.3431372549019607,2020-05-11
1.107843137254902,2020-05-12
1.1274509803921569,2020-05-13
1.0196078431372548,2020-05-14
1.196078431372549,2020-05-15
0.0196078431372549,2020-05-16
1.3137254901960784,2020-05-18
1.088235294117647,2020-05-19
1.2352941176470589,2020-05-20
1.2058823529411764,2020-05-22
0.049019607843137254,2020-05-23
1.2352941176470589,2020-05-25
1.2254901960784315,2020-05-26
1.5196078431372548,2020-05-27
1.3137254901960784,2020-05-28
1.303921568627451,2020-05-29
1.0784313725490196,2020-06-01
1.2745098039215685,2020-06-02
1.4019607843137254,2020-06-03
1.3529411764705883,2020-06-04
1.0686274509803921,2020-06-05
1.2549019607843137,2020-06-08
1.0294117647058822,2020-06-09
1.196078431372549,2020-06-10
1.2941176470588236,2020-06-11
1.1176470588235294,2020-06-12
0.049019607843137254,2020-06-13
1.3235294117647058,2020-06-15
1.4215686274509804,2020-06-16
1.4019607843137254,2020-06-17
1.1764705882352942,2020-06-18
0.06862745098039216,2020-06-19
0.00980392156862745,2020-06-21
1.3725490196078431,2020-06-22
1.8627450980392157,2020-06-23
1.6470588235294117,2020-06-24
1.4705882352941178,2020-06-25
1.4313725490196079,2020-06-26
0.058823529411764705,2020-06-27
0.00980392156862745,2020-06-28
1.696078431372549,2020-06-29
1.4509803921568627,2020-06-30
1.3137254901960784,2020-07-01
1.2941176470588236,2020-07-02
1.2941176470588236,2020-07-03
0.0196078431372549,2020-07-04
1.3235294117647058,2020-07-06
1.2254901960784315,2020-07-07
1.5,2020-07-08
1.2254901960784315,2020-07-09
0.803921568627451,2020-07-10
0.049019607843137254,2020-07-11
1.303921568627451,2020-07-13
1.0686274509803921,2020-07-14
1.107843137254902,2020-07-15
1.0,2020-07-16
0.803921568627451,2020-07-17
0.049019607843137254,2020-07-18
1.1568627450980393,2020-07-20
1.0196078431372548,2020-07-21
0.8627450980392157,2020-07-22
0.6862745098039216,2020-07-23
0.8235294117647058,2020-07-24
0.029411764705882353,2020-07-25
1.0686274509803921,2020-07-27
1.0,2020-07-28
1.0686274509803921,2020-07-29
1.0490196078431373,2020-07-30
0.9117647058823529,2020-07-31
1.303921568627451,2020-08-03
1.0490196078431373,2020-08-04
1.0490196078431373,2020-08-05
1.1372549019607843,2020-08-06
0.9215686274509803,2020-08-07
0.0196078431372549,2020-08-08
0.00980392156862745,2020-08-09
1.588235294117647,2020-08-10
1.2941176470588236,2020-08-11
1.2058823529411764,2020-08-12
1.3627450980392157,2020-08-13
1.0490196078431373,2020-08-14
0.029411764705882353,2020-08-15
0.00980392156862745,2020-08-16
1.4019607843137254,2020-08-17
1.0784313725490196,2020-08-18
1.2843137254901962,2020-08-19
1.3627450980392157,2020-08-20
1.0784313725490196,2020-08-21
0.06862745098039216,2020-08-22
0.00980392156862745,2020-08-23
1.4313725490196079,2020-08-24
1.4901960784313726,2020-08-25
1.7745098039215685,2020-08-26
1.6176470588235294,2020-08-27
1.5392156862745099,2020-08-28
0.049019607843137254,2020-08-29
1.4019607843137254,2020-08-31
1.1666666666666667,2020-09-01
1.1274509803921569,2020-09-02
1.3333333333333333,2020-09-03
1.1568627450980393,2020-09-04
0.0392156862745098,2020-09-05
1.2156862745098038,2020-09-07
1.0980392156862746,2020-09-08
1.1470588235294117,2020-09-09
1.1176470588235294,2020-09-10
1.2941176470588236,2020-09-11
0.00980392156862745,2020-09-12
1.411764705882353,2020-09-14
1.1568627450980393,2020-09-15
1.2745098039215685,2020-09-16
1.1470588235294117,2020-09-17
1.0588235294117647,2020-09-18
0.058823529411764705,2020-09-19
1.1666666666666667,2020-09-21
0.9901960784313726,2020-09-22
1.0686274509803921,2020-09-23
1.2156862745098038,2020-09-24
1.392156862745098,2020-09-25
0.00980392156862745,2020-09-26
1.3137254901960784,2020-09-28
1.1274509803921569,2020-09-29
1.2843137254901962,2020-09-30
1.088235294117647,2020-10-01
1.1568627450980393,2020-10-02
0.08823529411764706,2020-10-03
1.0490196078431373,2020-10-05
1.1666666666666667,2020-10-06
1.3137254901960784,2020-10-07
1.2254901960784315,2020-10-08
1.2647058823529411,2020-10-09
0.0392156862745098,2020-10-10
1.1176470588235294,2020-10-12
0.9117647058823529,2020-10-13
1.196078431372549,2020-10-14
1.0196078431372548,2020-10-15
1.1274509803921569,2020-10-16
0.029411764705882353,2020-10-17
1.3431372549019607,2020-10-19
1.2156862745098038,2020-10-20
1.196078431372549,2020-10-21
1.2352941176470589,2020-10-22
1.2352941176470589,2020-10-23
0.049019607843137254,2020-10-24
1.4019607843137254,2020-10-26
1.3823529411764706,2020-10-27
1.4901960784313726,2020-10-28
1.3725490196078431,2020-10-29
1.1666666666666667,2020-10-30
1.1568627450980393,2020-11-02
1.0686274509803921,2020-11-03
1.1470588235294117,2020-11-04
1.0490196078431373,2020-11-05
1.0196078431372548,2020-11-06
0.049019607843137254,2020-11-07
1.1274509803921569,2020-11-09
0.9901960784313726,2020-11-10
1.0392156862745099,2020-11-11
0.8921568627450981,2020-11-12
0.8137254901960784,2020-11-13
0.0392156862745098,2020-11-14
0.7941176470588235,2020-11-16
0.8137254901960784,2020-11-17
0.8627450980392157,2020-11-18
0.9607843137254902,2020-11-19
0.9313725490196079,2020-11-20
0.0196078431372549,2020-11-21
0.8921568627450981,2020-11-23
1.0,2020-11-24
1.1470588235294117,2020-11-25
1.0,2020-11-26
1.1764705882352942,2020-11-27
0.0196078431372549,2020-11-28
1.0784313725490196,2020-11-30
0.9607843137254902,2020-12-01
1.1372549019607843,2020-12-02
0.9901960784313726,2020-12-03
1.0392156862745099,2020-12-04
0.049019607843137254,2020-12-05
1.0294117647058822,2020-12-07
1.0490196078431373,2020-12-08
0.9901960784313726,2020-12-09
0.8235294117647058,2020-12-10
0.8725490196078431,2020-12-11
0.06862745098039216,2020-12-12
0.8529411764705882,2020-12-14
0.9705882352941176,2020-12-15
0.8921568627450981,2020-12-16
0.9117647058823529,2020-12-17
0.8137254901960784,2020-12-18
0.029411764705882353,2020-12-19
0.9705882352941176,2020-12-21
0.7352941176470589,2020-12-22
0.49019607843137253,2020-12-23
0.7352941176470589,2020-12-28
0.7647058823529411,2020-12-29
0.5588235294117647,2020-12-30
0.00980392156862745,2021-01-02
0.8137254901960784,2021-01-04
0.9117647058823529,2021-01-05
1.2450980392156863,2021-01-07
1.3235294117647058,2021-01-08
0.058823529411764705,2021-01-09
0.8725490196078431,2021-01-11
1.0196078431372548,2021-01-12
0.9411764705882353,2021-01-13
1.196078431372549,2021-01-14
1.0490196078431373,2021-01-15
0.0196078431372549,2021-01-16
1.0294117647058822,2021-01-18
0.9411764705882353,2021-01-19
1.1372549019607843,2021-01-20
1.0196078431372548,2021-01-21
1.0392156862745099,2021-01-22
0.0196078431372549,2021-01-23
0.9705882352941176,2021-01-25
1.5196078431372548,2021-01-26
1.1666666666666667,2021-01-27
1.0294117647058822,2021-01-28
1.1666666666666667,2021-01-29
0.0196078431372549,2021-01-30
0.9117647058823529,2021-02-01
1.0392156862745099,2021-02-02
1.0980392156862746,2021-02-03
1.0784313725490196,2021-02-04
1.2549019607843137,2021-02-05
0.0392156862745098,2021-02-06
0.9313725490196079,2021-02-08
0.9509803921568627,2021-02-09
0.8333333333333334,2021-02-10
0.8823529411764706,2021-02-11
1.107843137254902,2021-02-12
0.00980392156862745,2021-02-13
